epoch,loss
1,-0.2909
2,-0.5921
3,-0.8092
4,-0.8779
5,-0.9011
6,-0.9194
7,-0.9197
8,-0.9241
9,-0.9295
10,-0.9397
11,-0.9494
12,-0.9500
13,-0.9590
14,-0.9481
15,-0.9403
16,-0.9379
17,-0.9364
18,-0.9427
19,-0.9366
20,-0.9479
21,-0.9522
22,-0.9599
23,-0.9600
24,-0.9620
25,-0.9628
26,-0.9612
27,-0.9629
28,-0.9593
29,-0.9508
30,-0.9460
31,-0.9516
32,-0.9426
33,-0.9513
34,-0.9598
35,-0.9644
36,-0.9598
37,-0.9522
38,-0.9630
39,-0.9666
40,-0.9631
41,-0.9530
42,-0.9597
43,-0.9660
44,-0.9636
45,-0.9635
46,-0.9655
47,-0.9700
48,-0.9741
49,-0.9717
50,-0.9750
51,-0.9745
52,-0.9768
53,-0.9790
54,-0.9800
55,-0.9807
56,-0.9804
57,-0.9794
58,-0.9801
59,-0.9782
60,-0.9738
61,-0.9743
62,-0.9744
63,-0.9799
64,-0.9835
65,-0.9846
66,-0.9834
67,-0.9768
68,-0.9792
69,-0.9782
70,-0.9792
71,-0.9806
72,-0.9809
73,-0.9802
74,-0.9813
75,-0.9812
76,-0.9781
77,-0.9727
78,-0.9737
79,-0.9745
80,-0.9754
81,-0.9757
82,-0.9755
83,-0.9736
84,-0.9747
85,-0.9772
86,-0.9766
87,-0.9791
88,-0.9790
89,-0.9775
90,-0.9732
91,-0.9748
92,-0.9758
93,-0.9756
94,-0.9659
95,-0.9596
96,-0.9621
97,-0.9674
98,-0.9690
99,-0.9710
100,-0.9673
