epoch,loss
1,-0.6915
2,-0.9550
3,-0.9462
4,-0.9621
5,-0.9788
6,-0.9737
7,-0.9803
8,-0.9852
9,-0.9839
10,-0.9853
11,-0.9884
12,-0.9822
13,-0.9886
14,-0.9960
15,-0.9960
16,-0.9962
17,-0.9962
18,-0.9963
19,-0.9951
20,-0.9948
21,-0.9940
22,-0.9961
23,-0.9937
24,-0.9823
25,-0.9951
26,-0.9943
27,-0.9958
28,-0.9955
29,-0.9948
30,-0.9939
31,-0.9967
32,-0.9964
33,-0.9955
34,-0.9942
35,-0.9954
36,-0.9939
37,-0.9963
38,-0.9960
39,-0.9938
40,-0.9954
41,-0.9953
42,-0.9948
43,-0.9949
44,-0.9947
45,-0.9966
46,-0.9923
47,-0.9977
48,-0.9984
49,-0.9990
50,-0.9989
51,-0.9948
52,-0.9901
53,-0.9963
54,-0.9969
55,-0.9963
56,-0.9976
57,-0.9956
58,-0.9963
59,-0.9975
60,-0.9972
61,-0.9960
62,-0.9976
63,-0.9963
64,-0.9971
65,-0.9965
66,-0.9965
67,-0.9979
68,-0.9953
69,-0.9876
70,-0.9954
71,-0.9945
72,-0.9970
73,-0.9894
74,-0.9914
75,-0.9929
76,-0.9923
77,-0.9931
78,-0.9943
79,-0.9951
80,-0.9958
81,-0.9961
82,-0.9966
83,-0.9969
84,-0.9971
85,-0.9966
86,-0.9892
87,-0.9941
88,-0.9968
89,-0.9969
90,-0.9947
91,-0.9961
92,-0.9964
93,-0.9968
94,-0.9969
95,-0.9968
96,-0.9966
97,-0.9964
98,-0.9875
99,-0.9950
100,-0.9970
