epoch,loss,accuracy
1,0.0374,0.9847
2,0.0317,0.9866
3,0.0290,0.9875
4,0.0280,0.9879
5,0.0274,0.9880
6,0.0273,0.9882
7,0.0269,0.9885
8,0.0265,0.9885
9,0.0263,0.9887
10,0.0260,0.9887
11,0.0257,0.9888
12,0.0265,0.9888
13,0.0256,0.9891
14,0.0256,0.9891
15,0.0259,0.9890
16,0.0252,0.9891
17,0.0255,0.9892
18,0.0257,0.9892
19,0.0253,0.9894
20,0.0256,0.9895
21,0.0254,0.9894
22,0.0251,0.9895
23,0.0255,0.9894
24,0.0252,0.9894
25,0.0251,0.9896
26,0.0251,0.9896
27,0.0246,0.9897
28,0.0245,0.9896
29,0.0245,0.9897
30,0.0250,0.9897
31,0.0241,0.9897
32,0.0248,0.9897
33,0.0248,0.9897
34,0.0248,0.9898
35,0.0246,0.9899
36,0.0250,0.9899
37,0.0246,0.9898
38,0.0245,0.9901
39,0.0242,0.9900
40,0.0240,0.9901
41,0.0243,0.9901
42,0.0243,0.9900
43,0.0244,0.9902
44,0.0241,0.9903
45,0.0244,0.9902
46,0.0238,0.9902
47,0.0240,0.9902
48,0.0244,0.9902
49,0.0245,0.9903
50,0.0241,0.9902
51,0.0242,0.9905
52,0.0237,0.9903
53,0.0237,0.9903
54,0.0242,0.9904
55,0.0237,0.9905
56,0.0242,0.9904
57,0.0243,0.9905
58,0.0241,0.9905
59,0.0242,0.9906
60,0.0241,0.9905
61,0.0242,0.9904
62,0.0242,0.9905
63,0.0239,0.9904
64,0.0238,0.9904
65,0.0237,0.9906
66,0.0238,0.9908
67,0.0243,0.9906
68,0.0241,0.9907
69,0.0237,0.9907
70,0.0236,0.9907
71,0.0237,0.9908
72,0.0241,0.9908
73,0.0241,0.9907
74,0.0238,0.9907
75,0.0238,0.9905
76,0.0241,0.9907
77,0.0236,0.9907
78,0.0239,0.9909
79,0.0237,0.9906
80,0.0241,0.9908
81,0.0244,0.9909
82,0.0239,0.9908
83,0.0238,0.9908
84,0.0236,0.9908
85,0.0238,0.9909
86,0.0235,0.9908
87,0.0236,0.9910
88,0.0240,0.9909
89,0.0238,0.9907
90,0.0240,0.9907
91,0.0239,0.9910
92,0.0238,0.9909
93,0.0237,0.9910
94,0.0232,0.9910
95,0.0235,0.9908
96,0.0234,0.9909
97,0.0237,0.9912
98,0.0235,0.9907
99,0.0238,0.9910
100,0.0235,0.9909
